signal_name,type,fanin,fanin_verb,Fanout,fanout_verb,loop,length,hier_level,size,tag
S_AXIS_TVALID,1,0,1,5,36,0,1,0,46,1
S_AXIS_TREADY,2,1,3,1,1,0,1,0,46,0
writes_done_reg,3,8,43,1,1,1,1,0,46,1
mst_exec_state_reg,3,4,16,1,1,1,1,0,46,1
S_AXIS_TDATA,1,0,1,0,1,0,32,0,46,0
S_AXIS_TSTRB,1,0,1,0,1,0,4,0,46,0
write_pointer_reg,3,5,28,1,1,1,3,0,46,1
rst,1,0,1,48,423,0,1,0,370,1
input_0_axis_tvalid,1,0,1,25,692,0,1,0,370,1
input_0_axis_tlast,1,0,1,21,554,0,1,0,370,1
input_1_axis_tvalid,1,0,1,25,684,0,1,0,370,1
input_1_axis_tlast,1,0,1,21,544,0,1,0,370,1
input_2_axis_tvalid,1,0,1,25,664,0,1,0,370,1
input_2_axis_tlast,1,0,1,21,540,0,1,0,370,1
input_3_axis_tvalid,1,0,1,25,706,0,1,0,370,1
input_3_axis_tlast,1,0,1,21,580,0,1,0,370,1
output_0_axis_tready,1,0,1,31,304,0,1,0,370,1
output_1_axis_tready,1,0,1,31,293,0,1,0,370,1
output_2_axis_tready,1,0,1,31,274,0,1,0,370,1
output_3_axis_tready,1,0,1,31,270,0,1,0,370,1
input_0_axis_tready,2,1,3,1,1,0,1,0,370,0
input_1_axis_tready,2,1,3,1,1,0,1,0,370,0
input_2_axis_tready,2,1,3,1,1,0,1,0,370,0
input_3_axis_tready,2,1,3,1,1,0,1,0,370,0
output_0_axis_tvalid,2,1,3,1,1,0,1,0,370,0
output_0_axis_tlast,2,1,3,1,1,0,1,0,370,0
output_1_axis_tvalid,2,1,3,1,1,0,1,0,370,0
output_1_axis_tlast,2,1,3,1,1,0,1,0,370,0
output_2_axis_tvalid,2,1,3,1,1,0,1,0,370,0
output_2_axis_tlast,2,1,3,1,1,0,1,0,370,0
output_3_axis_tvalid,2,1,3,1,1,0,1,0,370,0
output_3_axis_tlast,2,1,3,1,1,0,1,0,370,0
/designs/axis_switch_4x4/instances_hier/arb_0_inst/instances_seq/grant_valid_reg_reg,3,6,57,1,1,1,1,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_1_inst/instances_seq/grant_valid_reg_reg,3,6,57,1,1,1,1,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_2_inst/instances_seq/grant_valid_reg_reg,3,6,57,1,1,1,1,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_3_inst/instances_seq/grant_valid_reg_reg,3,6,57,1,1,1,1,1,370,0
enable_0_reg_reg,3,17,102,1,1,1,1,0,370,1
enable_1_reg_reg,3,17,116,1,1,1,1,0,370,1
enable_2_reg_reg,3,17,114,1,1,1,1,0,370,1
enable_3_reg_reg,3,17,98,1,1,1,1,0,370,1
input_0_axis_tready_reg_reg,3,49,667,1,1,1,1,0,370,0
input_0_request_valid_reg_reg,3,5,37,1,1,1,1,0,370,1
input_1_axis_tready_reg_reg,3,49,665,1,1,1,1,0,370,0
input_1_request_valid_reg_reg,3,5,35,1,1,1,1,0,370,1
input_2_axis_tready_reg_reg,3,49,667,1,1,1,1,0,370,0
input_2_request_valid_reg_reg,3,5,37,1,1,1,1,0,370,1
input_3_axis_tready_reg_reg,3,49,676,1,1,1,1,0,370,0
input_3_request_valid_reg_reg,3,5,36,1,1,1,1,0,370,1
output_0_axis_tlast_reg_reg,3,11,85,1,1,1,1,0,370,0
output_0_axis_tready_int_reg_reg,3,15,105,1,1,0,1,0,370,1
output_0_axis_tvalid_reg_reg,3,16,118,1,1,1,1,0,370,1
output_1_axis_tlast_reg_reg,3,11,87,1,1,1,1,0,370,0
output_1_axis_tready_int_reg_reg,3,15,101,1,1,0,1,0,370,1
output_1_axis_tvalid_reg_reg,3,16,116,1,1,1,1,0,370,1
output_2_axis_tlast_reg_reg,3,11,89,1,1,1,1,0,370,0
output_2_axis_tready_int_reg_reg,3,15,107,1,1,0,1,0,370,1
output_2_axis_tvalid_reg_reg,3,16,118,1,1,1,1,0,370,1
output_3_axis_tlast_reg_reg,3,11,87,1,1,1,1,0,370,0
output_3_axis_tready_int_reg_reg,3,15,105,1,1,0,1,0,370,1
output_3_axis_tvalid_reg_reg,3,16,116,1,1,1,1,0,370,1
temp_0_axis_tlast_reg_reg,3,10,67,1,1,1,1,0,370,0
temp_0_axis_tvalid_reg_reg,3,16,122,1,1,1,1,0,370,0
temp_1_axis_tlast_reg_reg,3,10,69,1,1,1,1,0,370,0
temp_1_axis_tvalid_reg_reg,3,16,120,1,1,1,1,0,370,0
temp_2_axis_tlast_reg_reg,3,10,71,1,1,1,1,0,370,0
temp_2_axis_tvalid_reg_reg,3,16,122,1,1,1,1,0,370,0
temp_3_axis_tlast_reg_reg,3,10,69,1,1,1,1,0,370,0
temp_3_axis_tvalid_reg_reg,3,16,120,1,1,1,1,0,370,0
input_0_axis_tdata,1,0,1,8,81,0,8,0,370,0
input_0_axis_tkeep,1,0,1,0,1,0,1,0,370,0
input_0_axis_tid,1,0,1,0,1,0,8,0,370,0
input_0_axis_tdest,1,0,1,12,97,0,2,0,370,0
input_0_axis_tuser,1,0,1,8,81,0,1,0,370,0
input_1_axis_tdata,1,0,1,8,81,0,8,0,370,0
input_1_axis_tkeep,1,0,1,0,1,0,1,0,370,0
input_1_axis_tid,1,0,1,0,1,0,8,0,370,0
input_1_axis_tdest,1,0,1,12,97,0,2,0,370,0
input_1_axis_tuser,1,0,1,8,81,0,1,0,370,0
input_2_axis_tdata,1,0,1,8,81,0,8,0,370,0
input_2_axis_tkeep,1,0,1,0,1,0,1,0,370,0
input_2_axis_tid,1,0,1,0,1,0,8,0,370,0
input_2_axis_tdest,1,0,1,12,97,0,2,0,370,0
input_2_axis_tuser,1,0,1,8,81,0,1,0,370,0
input_3_axis_tdata,1,0,1,8,81,0,8,0,370,0
input_3_axis_tkeep,1,0,1,0,1,0,1,0,370,0
input_3_axis_tid,1,0,1,0,1,0,8,0,370,0
input_3_axis_tdest,1,0,1,12,117,0,2,0,370,0
input_3_axis_tuser,1,0,1,8,81,0,1,0,370,0
output_0_axis_tdata,2,1,3,1,1,0,8,0,370,0
output_0_axis_tkeep,2,0,1,1,1,0,1,0,370,0
output_0_axis_tid,2,0,1,1,1,0,8,0,370,0
output_0_axis_tdest,2,1,3,1,1,0,2,0,370,0
output_0_axis_tuser,2,1,3,1,1,0,1,0,370,0
output_1_axis_tdata,2,1,3,1,1,0,8,0,370,0
output_1_axis_tkeep,2,0,1,1,1,0,1,0,370,0
output_1_axis_tid,2,0,1,1,1,0,8,0,370,0
output_1_axis_tdest,2,1,3,1,1,0,2,0,370,0
output_1_axis_tuser,2,1,3,1,1,0,1,0,370,0
output_2_axis_tdata,2,1,3,1,1,0,8,0,370,0
output_2_axis_tkeep,2,0,1,1,1,0,1,0,370,0
output_2_axis_tid,2,0,1,1,1,0,8,0,370,0
output_2_axis_tdest,2,1,3,1,1,0,2,0,370,0
output_2_axis_tuser,2,1,3,1,1,0,1,0,370,0
output_3_axis_tdata,2,1,3,1,1,0,8,0,370,0
output_3_axis_tkeep,2,0,1,1,1,0,1,0,370,0
output_3_axis_tid,2,0,1,1,1,0,8,0,370,0
output_3_axis_tdest,2,1,3,1,1,0,2,0,370,0
output_3_axis_tuser,2,1,3,1,1,0,1,0,370,0
/designs/axis_switch_4x4/instances_hier/arb_0_inst/instances_seq/mask_reg_reg,3,12,130,1,1,1,3,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_0_inst/instances_seq/grant_reg_reg,3,10,95,1,1,1,4,1,370,1
/designs/axis_switch_4x4/instances_hier/arb_0_inst/instances_seq/grant_encoded_reg_reg,3,11,97,1,1,1,2,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_1_inst/instances_seq/mask_reg_reg,3,12,130,1,1,1,3,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_1_inst/instances_seq/grant_reg_reg,3,10,95,1,1,1,4,1,370,1
/designs/axis_switch_4x4/instances_hier/arb_1_inst/instances_seq/grant_encoded_reg_reg,3,11,97,1,1,1,2,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_2_inst/instances_seq/mask_reg_reg,3,12,130,1,1,1,3,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_2_inst/instances_seq/grant_reg_reg,3,10,95,1,1,1,4,1,370,1
/designs/axis_switch_4x4/instances_hier/arb_2_inst/instances_seq/grant_encoded_reg_reg,3,11,97,1,1,1,2,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_3_inst/instances_seq/mask_reg_reg,3,12,130,1,1,1,3,1,370,0
/designs/axis_switch_4x4/instances_hier/arb_3_inst/instances_seq/grant_reg_reg,3,10,95,1,1,1,4,1,370,1
/designs/axis_switch_4x4/instances_hier/arb_3_inst/instances_seq/grant_encoded_reg_reg,3,11,97,1,1,1,2,1,370,0
input_0_request_reg_reg,3,8,54,1,1,1,4,0,370,0
input_1_request_reg_reg,3,8,55,1,1,1,4,0,370,0
input_2_request_reg_reg,3,8,57,1,1,1,4,0,370,0
input_3_request_reg_reg,3,8,61,1,1,1,4,0,370,0
output_0_axis_tdata_reg_reg,3,11,85,1,1,1,8,0,370,0
output_0_axis_tdest_reg_reg,3,11,85,1,1,1,2,0,370,0
output_0_axis_tuser_reg_reg,3,11,85,1,1,1,1,0,370,0
output_1_axis_tdata_reg_reg,3,11,87,1,1,1,8,0,370,0
output_1_axis_tdest_reg_reg,3,11,87,1,1,1,2,0,370,0
output_1_axis_tuser_reg_reg,3,11,87,1,1,1,1,0,370,0
output_2_axis_tdata_reg_reg,3,11,89,1,1,1,8,0,370,0
output_2_axis_tdest_reg_reg,3,11,89,1,1,1,2,0,370,0
output_2_axis_tuser_reg_reg,3,11,89,1,1,1,1,0,370,0
output_3_axis_tdata_reg_reg,3,11,87,1,1,1,8,0,370,0
output_3_axis_tdest_reg_reg,3,11,87,1,1,1,2,0,370,0
output_3_axis_tuser_reg_reg,3,11,87,1,1,1,1,0,370,0
select_0_reg_reg,3,5,26,1,1,1,2,0,370,1
select_1_reg_reg,3,5,24,1,1,1,2,0,370,1
select_2_reg_reg,3,5,24,1,1,1,2,0,370,1
select_3_reg_reg,3,5,32,1,1,1,2,0,370,1
temp_0_axis_tdata_reg_reg,3,10,67,1,1,1,8,0,370,0
temp_0_axis_tdest_reg_reg,3,10,67,1,1,1,2,0,370,0
temp_0_axis_tuser_reg_reg,3,10,67,1,1,1,1,0,370,0
temp_1_axis_tdata_reg_reg,3,10,69,1,1,1,8,0,370,0
temp_1_axis_tdest_reg_reg,3,10,69,1,1,1,2,0,370,0
temp_1_axis_tuser_reg_reg,3,10,69,1,1,1,1,0,370,0
temp_2_axis_tdata_reg_reg,3,10,71,1,1,1,8,0,370,0
temp_2_axis_tdest_reg_reg,3,10,71,1,1,1,2,0,370,0
temp_2_axis_tuser_reg_reg,3,10,71,1,1,1,1,0,370,0
temp_3_axis_tdata_reg_reg,3,10,69,1,1,1,8,0,370,0
temp_3_axis_tdest_reg_reg,3,10,69,1,1,1,2,0,370,0
temp_3_axis_tuser_reg_reg,3,10,69,1,1,1,1,0,370,0
CLEAR_B,1,0,1,46,423,0,1,0,76,1
PSEL,1,0,1,22,276,0,1,0,76,1
PWRITE,1,0,1,22,278,0,1,0,76,1
ISREADY,1,0,1,39,240,0,1,0,76,1
SSPRXINTR,2,1,3,1,1,0,1,0,76,0
EMPTY,2,1,3,1,1,0,1,0,76,0
empty_next_reg,3,12,69,1,1,1,1,0,76,1
full_next_reg,3,12,72,1,1,1,1,0,76,1
tmp_reg,3,1,2,1,1,0,1,0,76,0
empty_reg_reg,3,1,3,1,1,0,1,0,76,0
full_reg_reg,3,1,3,1,1,0,1,0,76,0
RxDATA,1,0,1,4,21,0,8,0,76,0
PRDATA,2,1,2,1,1,0,8,0,76,0
data_out_reg,3,11,87,1,1,1,8,0,76,0
